Timestamp,language,problem
2023-09-18 11:15:24.047046,Ruby,NullPointerException
2023-09-18 11:15:25.047060,C++,SegmentationFault
2023-09-18 11:15:26.047063,Java,TypeError
2023-09-18 11:15:27.047065,Python,NoMethodError
2023-09-18 11:15:28.047067,Java,NoMethodError
2023-09-18 11:15:29.047069,Java,SyntaxError
2023-09-18 11:15:30.047071,JavaScript,NullPointerException
2023-09-18 11:15:31.047073,Ruby,SyntaxError
2023-09-18 11:15:32.047075,Java,SegmentationFault
2023-09-18 11:15:33.047077,JavaScript,NoMethodError
2023-09-18 11:15:34.047080,JavaScript,NoMethodError
2023-09-18 11:15:35.047082,Python,NullPointerException
2023-09-18 11:15:36.047084,C++,SyntaxError
2023-09-18 11:15:37.047086,Python,NoMethodError
2023-09-18 11:15:38.047088,Ruby,SyntaxError
2023-09-18 11:15:39.047090,Ruby,SegmentationFault
2023-09-18 11:15:40.047092,JavaScript,NoMethodError
2023-09-18 11:15:41.047095,JavaScript,SegmentationFault
2023-09-18 11:15:42.047097,Ruby,TypeError
2023-09-18 11:15:43.047099,C++,NoMethodError
2023-09-18 11:15:44.047101,Python,SyntaxError
2023-09-18 11:15:45.047103,JavaScript,NoMethodError
2023-09-18 11:15:46.047105,Python,TypeError
2023-09-18 11:15:47.047107,Ruby,SyntaxError
2023-09-18 11:15:48.047110,Ruby,NoMethodError
2023-09-18 11:15:49.047112,JavaScript,SyntaxError
2023-09-18 11:15:50.047114,Ruby,NoMethodError
2023-09-18 11:15:51.047116,JavaScript,NullPointerException
2023-09-18 11:15:52.047119,C++,SyntaxError
2023-09-18 11:15:53.047121,Python,NullPointerException
2023-09-18 11:15:54.047123,C++,TypeError
2023-09-18 11:15:55.047125,JavaScript,NullPointerException
2023-09-18 11:15:56.047128,JavaScript,NullPointerException
2023-09-18 11:15:57.047130,JavaScript,SyntaxError
2023-09-18 11:15:58.047132,Ruby,NullPointerException
2023-09-18 11:15:59.047134,Python,NoMethodError
2023-09-18 11:16:00.047136,C++,SegmentationFault
2023-09-18 11:16:01.047139,C++,NullPointerException
2023-09-18 11:16:02.047140,Java,SegmentationFault
2023-09-18 11:16:03.047142,C++,SegmentationFault
2023-09-18 11:16:04.047145,C++,SyntaxError
2023-09-18 11:16:05.047147,JavaScript,NullPointerException
2023-09-18 11:16:06.047149,Java,SyntaxError
2023-09-18 11:16:07.047151,Java,SyntaxError
2023-09-18 11:16:08.047153,Java,TypeError
2023-09-18 11:16:09.047155,Java,NullPointerException
2023-09-18 11:16:10.047158,Python,SegmentationFault
2023-09-18 11:16:11.047160,C++,NullPointerException
2023-09-18 11:16:12.047162,Ruby,NoMethodError
2023-09-18 11:16:13.047164,Java,SegmentationFault
2023-09-18 11:16:14.047166,C++,NullPointerException
2023-09-18 11:16:15.047168,Ruby,SyntaxError
2023-09-18 11:16:16.047170,C++,NoMethodError
2023-09-18 11:16:17.047172,Ruby,NoMethodError
2023-09-18 11:16:18.047174,JavaScript,NullPointerException
2023-09-18 11:16:19.047176,Ruby,TypeError
2023-09-18 11:16:20.047179,Java,SyntaxError
2023-09-18 11:16:21.047181,Ruby,TypeError
2023-09-18 11:16:22.047182,C++,NullPointerException
2023-09-18 11:16:23.047185,Python,SyntaxError
2023-09-18 11:16:24.047187,JavaScript,SyntaxError
2023-09-18 11:16:25.047189,Python,NullPointerException
2023-09-18 11:16:26.047192,C++,NullPointerException
2023-09-18 11:16:27.047194,JavaScript,TypeError
2023-09-18 11:16:28.047196,Python,TypeError
2023-09-18 11:16:29.047198,C++,SegmentationFault
2023-09-18 11:16:30.047201,C++,NoMethodError
2023-09-18 11:16:31.047203,JavaScript,NullPointerException
2023-09-18 11:16:32.047205,Python,NullPointerException
2023-09-18 11:16:33.047207,JavaScript,SegmentationFault
2023-09-18 11:16:34.047209,Python,SyntaxError
2023-09-18 11:16:35.047211,Ruby,NoMethodError
2023-09-18 11:16:36.047213,Java,SegmentationFault
2023-09-18 11:16:37.047216,Python,NullPointerException
2023-09-18 11:16:38.047219,JavaScript,NullPointerException
2023-09-18 11:16:39.047221,C++,SyntaxError
2023-09-18 11:16:40.047223,JavaScript,NullPointerException
2023-09-18 11:16:41.047226,JavaScript,NullPointerException
2023-09-18 11:16:42.047228,JavaScript,SegmentationFault
2023-09-18 11:16:43.047230,C++,SyntaxError
2023-09-18 11:16:44.047232,C++,SegmentationFault
2023-09-18 11:16:45.047234,JavaScript,SegmentationFault
2023-09-18 11:16:46.047236,Python,TypeError
2023-09-18 11:16:47.047239,C++,NoMethodError
2023-09-18 11:16:48.047241,Java,SegmentationFault
2023-09-18 11:16:49.047243,JavaScript,TypeError
2023-09-18 11:16:50.047245,JavaScript,SegmentationFault
2023-09-18 11:16:51.047247,JavaScript,NoMethodError
2023-09-18 11:16:52.047249,Java,TypeError
2023-09-18 11:16:53.047251,Java,NullPointerException
2023-09-18 11:16:54.047254,C++,SegmentationFault
2023-09-18 11:16:55.047256,Python,TypeError
2023-09-18 11:16:56.047258,Python,SyntaxError
2023-09-18 11:16:57.047261,Ruby,SegmentationFault
2023-09-18 11:16:58.047263,Python,SegmentationFault
2023-09-18 11:16:59.047265,Ruby,SyntaxError
2023-09-18 11:17:00.047267,C++,SegmentationFault
2023-09-18 11:17:01.047269,Python,TypeError
2023-09-18 11:17:02.047271,Python,TypeError
2023-09-18 11:17:03.047273,Python,SegmentationFault
